orb_minutes,stop_mode,min_width,slippage,train_trades,train_avg_r,train_pnl,val_avg_r,val_pnl,test_avg_r,test_pnl,test_pct_2_5r
45,orb_midpoint,25,0.5,390,-0.04055755735010325,-869.2926249999873,0.005849868271706034,12.875750000000153,-0.3434673259379915,-152.35399999999936,0.0
45,opposite_orb_boundary,25,0.5,381,-0.029522350122433674,-847.7729999999933,0.004081305215536414,-7.73225000000275,-0.14004669297164635,-106.84800000000178,0.0
45,orb_midpoint,30,0.5,309,-0.07462417451897309,-984.1837499999956,-0.010795296986668007,3.8107499999996435,-0.3434673259379915,-152.35399999999936,0.0
45,opposite_orb_boundary,25,1.0,381,-0.05055799095727766,-1228.9454999999944,-0.012499644382306737,-27.48225000000275,-0.15250288500034725,-117.84800000000178,0.0
60,opposite_orb_boundary,30,0.5,268,-0.04771511514407756,-739.7109999999957,-0.012521808998548978,-18.547999999998865,-0.16005688752565492,-98.50800000000163,0.0
45,orb_midpoint,25,1.0,390,-0.0748896720748778,-1241.5099999999857,-0.01727774621537826,-4.499249999999847,-0.36229202401498717,-163.35399999999936,0.0
60,orb_midpoint,30,0.5,269,-0.07630061759935068,-783.6784999999959,-0.019648591554618976,-22.013750000000982,-0.39794658305099684,-143.71500000000015,0.0
45,opposite_orb_boundary,30,0.5,304,-0.045646555537635365,-921.4032500000003,-0.02265564110709689,-24.5782500000023,-0.14004669297164635,-106.84800000000178,0.0
45,opposite_orb_boundary,20,0.5,449,-0.04250138787317126,-1074.2119999999918,-0.02845829574560631,-32.168250000002445,-0.14004669297164635,-106.84800000000178,0.0
45,orb_midpoint,30,1.0,309,-0.10632176458673111,-1289.0721249999947,-0.03175904758934869,-12.189250000000357,-0.36229202401498717,-163.35399999999936,0.0
60,opposite_orb_boundary,30,1.0,268,-0.06600530569514274,-1005.8359999999957,-0.03213560023441177,-28.547999999998865,-0.172324087300183,-108.50800000000163,0.0
45,opposite_orb_boundary,30,1.0,304,-0.06405404788221386,-1222.531250000001,-0.03704885293855808,-42.3282500000023,-0.15250288500034725,-117.84800000000178,0.0
45,opposite_orb_boundary,20,1.0,449,-0.06651773421761088,-1534.0854999999929,-0.04675705843741538,-54.918250000002445,-0.15250288500034725,-117.84800000000178,0.0
60,orb_midpoint,30,1.0,269,-0.1172541502831558,-1123.1371249999952,-0.04834644962319844,-30.763750000000982,-0.4158874991908374,-153.71500000000015,0.0
45,orb_midpoint,20,0.5,461,-0.06299427536064009,-1103.867062499985,-0.05060387486083656,-13.74225000000024,-0.3434673259379915,-152.35399999999936,0.0
60,opposite_orb_boundary,20,0.5,380,-0.059224820217040515,-1069.70524999999,-0.06015602357111347,-37.81399999999667,-0.16005688752565492,-98.50800000000163,0.0
60,opposite_orb_boundary,25,0.5,320,-0.06337223583468726,-997.5342499999961,-0.06395180660238267,-37.36199999999735,-0.16005688752565492,-98.50800000000163,0.0
45,orb_midpoint,20,1.0,461,-0.09825259496145952,-1528.6688124999837,-0.07650827328036,-34.11725000000024,-0.36229202401498717,-163.35399999999936,0.0
60,opposite_orb_boundary,20,1.0,380,-0.08178115886207807,-1448.9002499999906,-0.08158852235092992,-49.81399999999667,-0.172324087300183,-108.50800000000163,0.0
60,opposite_orb_boundary,25,1.0,320,-0.08289481276605168,-1312.5392499999962,-0.08373872275269602,-48.36199999999735,-0.172324087300183,-108.50800000000163,0.0
60,orb_midpoint,20,0.5,385,-0.07793609041325221,-1001.9921874999882,-0.10475037212890169,-40.51075000000219,-0.39794658305099684,-143.71500000000015,0.0
60,orb_midpoint,25,0.5,323,-0.0953078179735159,-992.8684999999914,-0.11136218756059922,-40.058750000002874,-0.39794658305099684,-143.71500000000015,0.0
60,orb_midpoint,20,1.0,385,-0.11832879824649613,-1430.1850624999875,-0.1365187245670843,-51.26075000000219,-0.4158874991908374,-153.71500000000015,0.0
60,orb_midpoint,25,1.0,323,-0.13715193957595548,-1386.5108749999904,-0.1398983190231797,-49.808750000002874,-0.4158874991908374,-153.71500000000015,0.0
